,CSA,MSA/μSA,City_Zillow
0,"NY-Newark, NY-NJ-CT-PA CSA","NY-Newark-Jersey City, NY-NJ-PA MSA","New York, NY"
1,"NY-Newark, NY-NJ-CT-PA CSA","Bridgeport-Stamford-Norwalk, CT MSA","Stamford, CT"
2,"NY-Newark, NY-NJ-CT-PA CSA","New Haven-Milford, CT MSA","New Haven, CT"
3,"NY-Newark, NY-NJ-CT-PA CSA","Allentown-Bethlehem-Easton, PA-NJ MSA","Allentown, PA"
4,"NY-Newark, NY-NJ-CT-PA CSA","Trenton, NJ MSA","Trenton, NJ"
5,"NY-Newark, NY-NJ-CT-PA CSA","Torrington, CT μSA","Torrington, CT"
6,"NY-Newark, NY-NJ-CT-PA CSA","Kingston, NY MSA","Kingston, NY"
7,"NY-Newark, NY-NJ-CT-PA CSA","East Stroudsburg, PA MSA","East Stroudsburg, PA"
8,"Los Angeles-Long Beach, CA CSA","Los Angeles-Long Beach-Anaheim, CA MSA","Los Angeles-Long Beach-Anaheim, CA"
9,"Los Angeles-Long Beach, CA CSA","Riverside-San Bernardino-Ontario, CA MSA","Riverside, CA"
10,"Los Angeles-Long Beach, CA CSA","Oxnard-Thousand Oaks-Ventura, CA MSA","Venture, CA"
11,"Chicago-Naperville, IL-IN-WI CSA","Chicago-Naperville-Elgin, IL-IN-WI MSA","Chicago, IL"
12,"Chicago-Naperville, IL-IN-WI CSA","Kankakee, IL MSA","Kankakee, IL"
13,"Chicago-Naperville, IL-IN-WI CSA","Michigan City-La Porte, IN MSA","Michigan City, IN "
14,"Chicago-Naperville, IL-IN-WI CSA","Ottawa–Peru, IL μSA","Ottawa–Peru, IL"
15,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","Washington, DC"
16,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA","Baltimore-Columbia-Towson, MD MSA","Baltimore, MD"
17,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA","Hagerstown-Martinsburg, MD-WV MSA","Hagerstown, WV"
18,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA","Chambersburg-Waynesboro, PA MSA","Chambersburg, PA"
19,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA","Winchester, VA-WV MSA","Winchester, VA"
20,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA","California-Lexington Park, MD MSA","California-Lexington Park, MD"
21,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA","Easton, MD μSA","Easton, MD "
22,"San Jose-San Francisco-Oakland, CA CSA","San Francisco-Oakland-Hayward, CA MSA","San Francisco, CA"
23,"San Jose-San Francisco-Oakland, CA CSA","San Jose-Sunnyvale-Santa Clara, CA MSA","San Jose, CA"
24,"San Jose-San Francisco-Oakland, CA CSA","Santa Rosa-Petaluma, CA MSA","Santa Rosa, CA"
25,"San Jose-San Francisco-Oakland, CA CSA","Vallejo-Fairfield, CA MSA","Vallejo, CA"
26,"San Jose-San Francisco-Oakland, CA CSA","Santa Cruz-Watsonville, CA MSA","Santa Cruz, CA"
27,"San Jose-San Francisco-Oakland, CA CSA","Napa, CA MSA","Napa, CA"
28,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Boston-Cambridge-Quincy, MA-NH MSA","Boston, MA"
29,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Providence-New Bedford-Fall River, RI-MA MSA","Providence, RI"
30,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Worcester, MA MSA","Worcester, MA"
31,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Manchester-Nashua, NH MSA","Manchester-Nashua, NH"
32,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Concord, NH μSA","Concord, NH"
33,"Boston-Worcester-Providence, MA-RI-NH-CT CSA","Laconia, NH μSA","Laconia, NH"
34,"Dallas-Fort Worth, TX-OK CSA","Dallas-Fort Worth-Arlington, TX MSA","Dallas-Fort Worth, TX"
35,"Dallas-Fort Worth, TX-OK CSA","Sulphur Springs, TX μSA","Sulphur Springs, TX"
36,"Dallas-Fort Worth, TX-OK CSA","Corsicana, TX μSA","Corsicana, TX"
37,"Dallas-Fort Worth, TX-OK CSA","Sherman-Denison, TX MSA","Sherman, TX"
38,"Dallas-Fort Worth, TX-OK CSA","Athens, TX μSA","Athens, TX"
39,"Dallas-Fort Worth, TX-OK CSA","Granbury, TX μSA","Granbury, TX"
40,"Dallas-Fort Worth, TX-OK CSA","Gainesville, TX μSA","Gainesville, TX"
41,"Dallas-Fort Worth, TX-OK CSA","Bonham, TX μSA","Bonham, TX"
42,"Dallas-Fort Worth, TX-OK CSA","Mineral Wells, TX μSA","Mineral Wells, TX"
43,"Dallas-Fort Worth, TX-OK CSA","Durant, OK μSA","Durant, OK"
44,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA","Philadelphia, PA"
45,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA","Reading, PA MSA","Reading, PA"
46,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA","Atlantic City-Hammonton, NJ MSA","Atlantic City, NJ"
47,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA","Dover, DE MSA","Dover, DE"
48,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA","Vineland-Bridgeton, NJ MSA","Vineland, NJ"
49,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA","Ocean City, NJ MSA","Ocean City, NJ MSA"
50,"Houston-The Woodlands, TX CSA","Houston-The Woodlands-Sugar Land, TX MSA","Houston, TX"
51,"Houston-The Woodlands, TX CSA","Huntsville, TX μSA","Huntsville, TX"
52,"Houston-The Woodlands, TX CSA","El Campo, TX μSA","El Campo, TX"
53,"Houston-The Woodlands, TX CSA","Bay City, TX μSA","Bay City, TX"
54,"Houston-The Woodlands, TX CSA","Brenham, TX μSA","Brenham, TX"
55,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA","Miami-Fort Lauderdale-Pompano Beach, FL MSA","Miami-Fort Lauderdale, FL"
56,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA","Port St. Lucie, FL MSA","Port St. Lucie, FL"
57,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA",Sebastian-Vero Beach MSA,Sebastian-Vero Beach
58,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA","Okeechobee, FL μSA","Okeechobee, FL"
59,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",Atlanta-Sandy Springs-Roswell MSA,"Atlanta, GA"
60,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",Athens-Clarke MSA,"Athens-Clarke, GA"
61,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",Gainesville MSA,"Gainesville, GA"
62,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",LaGrange μSA,"LaGrange, GA"
63,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",Jefferson μSA,"Jefferson, GA"
64,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",Calhoun μSA,"Calhoun, GA"
65,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",Cedartown μSA,"Cedartown, GA"
66,"Atlanta--Athens-Clarke County--Sandy Springs, GA CSA",Thomaston μSA,"Thomaston, GA"
67,"Detroit-Warren-Ann Arbor, MI CSA",Detroit-Warren-Dearborn MI MSA,"Detroit, MI"
68,"Detroit-Warren-Ann Arbor, MI CSA",Flint MI MSA,"Flint, MI"
69,"Detroit-Warren-Ann Arbor, MI CSA",Ann Arbor MI MSA,"Ann Arbor, MI"
70,"Detroit-Warren-Ann Arbor, MI CSA",Monroe MI MSA,"Monroe, MI"
71,"Detroit-Warren-Ann Arbor, MI CSA",Adrian MI μSA,"Adrian, MI"
72,"Seattle-Tacoma, WA CSA","Seattle-Tacoma-Bellevue, WA MSA","Seattle, WA"
73,"Seattle-Tacoma, WA CSA","Olympia, WA MSA","Olympia, WA"
74,"Seattle-Tacoma, WA CSA","Bremerton-Silverdale, WA MSA","Bremerton, WA"
75,"Seattle-Tacoma, WA CSA","Mount Vernon-Anacortes, WA MSA","Mount Vernon, WA"
76,"Seattle-Tacoma, WA CSA","Oak Harbor, WA μSA","Oak Harbor, WA"
77,"Seattle-Tacoma, WA CSA","Centralia, WA μSA","Centralia, WA"
78,"Seattle-Tacoma, WA CSA","Shelton, WA μSA","Shelton, WA"
79,"Minneapolis-St. Paul, MN-WI CSA","Minneapolis-St. Paul-Bloomington, MN-WI MSA","Minneapolis-St Paul, MN"
80,"Minneapolis-St. Paul, MN-WI CSA","St. Cloud, MN MSA","St. Cloud, MN"
81,"Minneapolis-St. Paul, MN-WI CSA","Faribault-Northfield, MN μSA","Faribault, MN"
82,"Minneapolis-St. Paul, MN-WI CSA","Red Wing, MN μSA","Red Wing, MN"
83,"Minneapolis-St. Paul, MN-WI CSA","Hutchinson, MN μSA","Hutchinson, MN"
84,"Denver-Aurora, CO CSA","Denver-Aurora-Lakewood, CO MSA","Denver, CO"
85,"Denver-Aurora, CO CSA","Boulder, CO MSA","Boulder, CO "
86,"Denver-Aurora, CO CSA","Greeley, CO MSA","Greeley, CO"
87,"Cleveland-Akron-Canton, OH CSA","Cleveland–Elyria, OH MSA","Cleveland, OH MSA"
88,"Cleveland-Akron-Canton, OH CSA","Akron, OH MSA","Akron, OH MSA"
89,"Cleveland-Akron-Canton, OH CSA","Canton–Massillon, OH MSA","Canton, OH"
90,"Cleveland-Akron-Canton, OH CSA","Ashtabula, OH μSA","Ashtabula, OH"
91,"Cleveland-Akron-Canton, OH CSA","New Philadelphia-Dover, OH μSA","New Philadelphia, OH"
92,"Cleveland-Akron-Canton, OH CSA","Norwalk, OH μSA","Norwalk, OH"
93,"Cleveland-Akron-Canton, OH CSA","Sandusky, OH μSA","Sandusky, OH"
94,"Cleveland-Akron-Canton, OH CSA","Wooster, OH μSA","Wooster, OH"
95,"Orlando-Deltona-Daytona Beach, FL CSA","Orlando-Kissimmee, FL MSA","Orlando, FL"
96,"Orlando-Deltona-Daytona Beach, FL CSA","The Villages, FL μSA","The Villages, FL"
97,"Orlando-Deltona-Daytona Beach, FL CSA","Deltona-Daytona Beach-Ormond Beach, FL MSA","Deltona, FL"
98,"Orlando-Deltona-Daytona Beach, FL CSA","Palm Coast, FL MSA","Palm Coast, FL"
99,"Portland-Vancouver-Salem, OR-WA CSA","Portland-Vancouver-Hillsboro, OR-WA MSA","Portland, OR "
100,"Portland-Vancouver-Salem, OR-WA CSA","Salem, OR MSA","Salem, OR MSA"
101,"Portland-Vancouver-Salem, OR-WA CSA","Longview, WA MSA","Longview, WA MSA"
102,"Portland-Vancouver-Salem, OR-WA CSA","Albany-Lebanon, OR μSA","Albany-Lebanon, OR μSA"
103,"Portland-Vancouver-Salem, OR-WA CSA","Corvallis, OR MSA","Corvallis, OR MSA"
104,"Sacramento-Arden Arcade-Yuba City, CA-NV CSA","Sacramento-Arden Arcade-Roseville, CA MSA","Sacramento, CA "
105,"Sacramento-Arden Arcade-Yuba City, CA-NV CSA","Yuba City, CA MSA","Yuba City, CA"
106,"Fresno-Madera, CA CSA","Truckee-Grass Valley, CA μSA","Truckee, CA"
107,"Fresno-Madera, CA CSA","Fresno, CA MSA","Fresno, CA"
108,"Fresno-Madera, CA CSA","Madera, CA MSA","Madera, CA"
109,(no CSA),Phoenix-Mesa MSA,"Phoenix, AZ"
110,(no CSA),San Diego - Chula Vista - Carlsbad MSA,"San Diego, CA"
111,(no CSA),Honolulu MSA,"Honolulu, HI"